id,name,icon,description,color
J000020,5G手機,📱,5G換機潮帶動手機供應鏈需求,#F39C12
J000030,5G基礎建設,📡,電信商資本支出推升通訊設備,#F39C12
J000050,DRAM,💾,記憶體報價循環影響獲利波動,#9B59B6
J000170,MIH平台概念股,🚗,電動車開放平台供應鏈整合,#9B59B6
J000180,mini -LED,💡,高階顯示背光技術升級,#9B59B6
J000250,PCB設備概念股,🛠️,電路板擴產帶動設備需求,#9B59B6
J000260,PC概念,💻,個人電腦出貨與商用換機,#9B59B6
J000310,大宗物質,📦,原物料價格波動主導行情,#9B59B6
J000350,不鏽鋼,🏗️,鋼價與基建需求連動,#9B59B6
J000370,元宇宙,🥽,AR/VR與虛擬經濟應用,#F39C12
J000410,手工具機,🔧,工業維修與DIY出口市場,#9B59B6
J000490,半導體設備,🏭,晶圓廠擴產核心受惠族群,#F39C12
J000500,台積概念股,🏗️,先進製程供應鏈連動,#F39C12
J000550,安全監控,📹,AI影像辨識與安防需求,#9B59B6
J000570,百貨,🏬,內需消費與零售景氣,#3498DB
J000600,自動化生產概念股,🤖,智慧製造提升效率,#F39C12
J000620,低軌道衛星,🛰️,衛星通訊與太空經濟,#F39C12
J000720,板卡業,🖥️,顯示卡與主機板需求,#9B59B6
J000770,金控,💰,利率循環影響金融獲利,#3498DB
J000810,南部建商,🏢,區域房市與推案量動能,#9B59B6
J000880,風電,🌬️,再生能源裝置容量成長,#2ECC71
J001000,條鋼,🏗️,營建與基建用鋼需求,#9B59B6
J001010,第三代半導體,⚡,SiC/GaN應用於車電儲能,#F39C12
J001030,被動元件(其他),📦,電容電阻供需循環,#9B59B6
J001090,連鎖餐飲,🍔,展店擴張與品牌效應,#3498DB
J001110,散熱零組件,❄️,高功耗晶片散熱升級,#9B59B6
J001170,飯店,🏨,觀光復甦帶動住房率,#3498DB
J001190,新藥研發,🧬,研發成功帶動爆發成長,#3498DB
J001240,電動車供應鏈,🔋,新能源車零組件滲透提升,#2ECC71
J001320,線材盤元,🧵,鋼鐵原料與建材需求,#9B59B6
J001380,環保概念股,♻️,永續政策與減碳需求,#2ECC71
J001390,聯發科概念股,🧩,手機晶片供應鏈連動,#F39C12
J001420,證券期貨,📈,交易量放大受惠,#3498DB
J001450,軍工概念,🛡️,國防預算提升受惠,#2ECC71
J001460,矽光概念,🔦,光通訊高速傳輸技術,#F39C12
J001470,CoWoS概念,📦,先進封裝提升AI效能,#F39C12
J001480,生成式AI,🤖,大型語言模型推動算力需求,#F39C12
J001490,無人機概念,🚁,軍民用無人飛行器應用,#2ECC71
J001500,人形機器人,🦾,服務型機器人發展,#F39C12
J001510,BBU概念,🔋,備援電力與儲能需求,#9B59B6
I010001,油電燃氣指標,⛽,能源價格波動影響獲利,#9B59B6
I011010,水泥指標,🏗️,基建與房市需求連動,#9B59B6
I012010,大宗物資指標,📦,原物料行情循環,#9B59B6
I012020,綜合食品指標,🍜,民生消費穩定成長,#3498DB
I013010,塑膠原料指標,🧪,石化報價影響毛利,#9B59B6
I013020,塑膠製品指標,🧴,下游應用需求擴張,#9B59B6
I014030,成衣指標,👕,品牌代工與出口市場,#9B59B6
I014040,織布指標,🧵,紡織上游原料需求,#9B59B6
I015010,工具機業指標,🔧,設備投資循環,#9B59B6
I015030,重電業指標,⚡,電網與基建升級,#2ECC71
I015040,家電指標,📺,內需與換機需求,#9B59B6
I015041,機械零組件指標,⚙️,設備零組件供應鏈,#9B59B6
I016010,電線電纜指標,🔌,基建與能源需求,#9B59B6
I017022,合成樹脂指標,🧪,石化中游材料,#9B59B6
I017032,西藥製劑指標,💊,藥品銷售穩定,#3498DB
I017033,新藥研發指標,🧬,研發進度影響估值,#3498DB
I017034,生物製劑指標,🧫,生技產品商業化,#9B59B6
I017036,醫療產品指標,🏥,醫療器材需求成長,#3498DB
I017052,體外／科研檢測試紙器材指標,🧪,檢測與實驗耗材,#9B59B6
I017060,保健品指標,🧴,健康意識提升,#3498DB
I017090,藥品通路指標,🏪,藥局與醫療通路,#3498DB
I018010,建材指標,🧱,建設需求帶動銷售,#9B59B6
I018020,家居用品指標,🛋️,居家消費需求,#9B59B6
I020010,不鏽鋼指標,🏗️,鋼鐵行情循環,#9B59B6
I020040,線材、盤元指標,🧵,建材與工業用鋼,#9B59B6
I020050,條鋼指標,🏗️,營建基礎鋼材,#9B59B6
I022010,汽車股指標,🚗,整車銷量與景氣,#9B59B6
I022020,汽車零組件指標,🚘,車用供應鏈需求,#9B59B6
I023020,IC封測指標,📦,封裝測試產能利用率,#F39C12
I023021,半導體封測材料指標,🧪,封測耗材需求,#F39C12
I023040,IC設計指標,🧠,高毛利晶片設計,#F39C12
I023050,IC零組件通路商指標,📦,半導體代理通路,#F39C12
I023060,LED指標,💡,顯示與照明需求,#9B59B6
I023080,TFT面板指標,📺,面板價格循環,#9B59B6
I023110,工業電腦指標,🖥️,工控與邊緣運算,#9B59B6
I023120,分離式元件指標,⚡,功率與分離式元件,#9B59B6
I023130,太陽能指標,☀️,再生能源裝置成長,#2ECC71
I023172,半導體設備指標,🏭,晶圓廠設備投資,#F39C12
I023210,光學鏡頭指標,🔍,手機與車用鏡頭需求,#F39C12
I023220,印刷電路板上游與材料指標,📟,PCB原料供應鏈,#9B59B6
I023230,印刷電路板指標,📟,電路板需求成長,#9B59B6
I023231,PCB設備指標,🛠️,PCB產線設備投資,#9B59B6
I023240,安全監控系統指標,📹,AI安防系統需求,#9B59B6
I023242,資安指標,🛡️,資訊安全與防駭需求,#F39C12
I023330,軟體指標,💻,軟體與SaaS服務,#F39C12
I023340,連接線材指標,🔗,資料與電力傳輸,#9B59B6
I023350,連接器指標,🔌,電子連接需求,#9B59B6
I023360,散熱模組指標,❄️,高效散熱解決方案,#9B59B6
I023370,被動元件指標,📦,基礎電子元件循環,#9B59B6
I023390,無線網路指標,📡,WiFi與路由設備,#9B59B6
I023400,筆記型電腦指標,💻,NB出貨循環,#9B59B6
I023410,週邊產品指標,🖱️,電腦周邊需求,#9B59B6
I023420,遊戲相關指標,🎮,遊戲與電競市場,#9B59B6
I023430,電子代工指標,🔧,EMS代工與品牌出貨,#9B59B6
I023470,電源相關指標,🔋,電源管理與儲能,#9B59B6
I023471,模具沖壓指標,🛠️,金屬加工與模具,#9B59B6
I023510,網路通訊指標,🌐,通訊設備需求,#9B59B6
I023530,機殼指標,🖥️,伺服器與PC機構件,#9B59B6
I023590,光纖產品指標,🔦,高速光通訊產品,#9B59B6
I023600,設備儀器廠商指標,🔬,量測與工業設備,#9B59B6
I023630,其他電子通路指標,📦,電子代理銷售,#3498DB
I023660,電子商務指標,🛍️,電商平台與流量,#9B59B6
I023680,車用電子指標,🚗,車電滲透率提升,#9B59B6
I023720,雲端指標,☁️,雲端運算與資料中心,#F39C12
I025010,營建指標,🏢,房市推案與完工量,#9B59B6
I025020,營造指標,🏗️,工程標案與基建投資,#9B59B6
I025030,物業租賃指標,🏬,商辦與資產租金收益,#9B59B6
I026040,物流業指標,🚚,電商與運輸需求,#3498DB
I027010,觀光休閒指標,🌴,旅遊消費復甦,#3498DB
I027011,餐飲指標,🍽️,內需餐飲消費,#3498DB
I027012,飯店指標,🏨,住房率與觀光人潮,#3498DB
I027014,百貨通路指標,🏬,零售消費景氣,#3498DB
I028010,金控指標,💰,金融控股公司獲利,#3498DB
I099022,回收、焚化相關指標,♻️,環保處理與循環經濟,#2ECC71
I099030,資產股指標,🏢,土地與資產重估,#9B59B6
I099070,傳播出版印刷指標,📰,媒體與內容產業,#9B59B6
I099080,服務業指標,🧑‍💼,內需服務產業表現,#3498DB
I099100,文創產業指標,🎨,文化創意與IP變現,#3498DB
A0001,三商行,🛒,民生消費與零售通路專家，橫跨餐飲與人壽保險。,#9B59B6
A0002,大同,🔌,老牌電力設備大廠，擁有龐大土地資產與重電技術。,#9B59B6
A0003,大億,🚗,台灣汽車燈具領導者，專注於車用零組件外銷。,#9B59B6
A0004,中華電信,📡,台灣電信龍頭，掌握最廣泛的網路基礎設施與雲端服務。,#3498DB
A0005,中鼎,🏗️,台灣最大工程集團，專注於煉油、石化與電力工程 EPC。,#9B59B6
A0006,中鋼,🔩,台灣鋼鐵產業核心，供應全球高端鋼材需求。,#9B59B6
A0007,中環,💿,全球光碟片龍頭，積極轉型文創與休閒觀光產業。,#9B59B6
A0008,中纖,🧵,人造纖維大廠，深耕化學纖維與石化原料製造。,#9B59B6
A0009,友訊,🌐,網通設備品牌先驅，提供全球網通硬體解決方案。,#9B59B6
A0010,日月光,📦,全球最大半導體封測廠，提供一站式封裝測試服務。,#9B59B6
A0011,台泥,🔋,水泥產業龍頭，致力於低碳建築與綠能儲能轉型。,#9B59B6
A0012,台南幫,🧵,台南在地勢力核心，涵蓋紡織、食品與零售百貨。,#9B59B6
A0013,台塑,🛢️,石化王國，建立全球化布局的塑膠與煉油產業鏈。,#9B59B6
A0014,台積電,🏗️,全球半導體護國神山，定義先進製程的領導地位。,#F39C12
A0015,正崴,🔌,連接器與精密零組件專家，深耕消費電子供應鏈。,#9B59B6
