code,name,market,category,riskLevel,personality,profit1,profit1_reason,profit1_source,profit2,profit2_reason,profit2_source,profit3,profit3_reason,profit3_source,key1,key1_reason,key1_source,key2,key2_reason,key2_source,key3,key3_reason,key3_source,risk1,risk1_reason,risk1_source,risk2,risk2_reason,risk2_source,risk3,risk3_reason,risk3_source,reminder
TSE,加權指數,加權指數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTC,櫃買指數,櫃買指數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSE11,水泥,上市水泥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,東泥,上市水泥,,,盤踞「南台灣市場」的水泥商，近年因土地資產開發受到關注,南台灣預拌混凝土,,,水泥產銷,,,資產活化（高雄廠區開發）,,,南台灣科學園區建廠進度,,,高雄土地重劃進度,,,爐石粉行情,,,傳統水泥產線老舊,,,工安事故風險,,,地方政府開發政策更迭,,,投資亮點在於南台灣半導體建廠熱潮帶動的混凝土需求及土地價值
1109,信大,上市水泥,,,營運版圖集中在「江蘇南京與台灣東部」的利基型業者,南京信大水泥獲利,,,台灣東部水泥銷售,,,資產租賃,,,長三角地區水泥價格,,,中國華東基建熱度,,,石灰石礦源穩定性,,,中國房市景氣下行,,,兩岸關係影響營運,,,南京環保限產令,,,獲利波動與南京市場高度掛鉤，需密切關注中國華東區的水泥行情
1108,幸福,上市水泥,,,區域型水泥供應商，獲利高度依賴「北台灣公共工程與基建」,水泥銷售,,,預拌混凝土,,,廢棄物處理代工,,,北部公共工程案量,,,貨物稅補助政策,,,煤炭進口成本,,,規模經濟較小抗風險力弱,,,環保罰單風險,,,煤價暴漲,,,典型的內需小型股，觀察重點在於政府大型交通建設的發包時程
1104,環泥,上市水泥,,,專注於台灣內需，憑藉「預拌混凝土與石膏板」穩紮穩打的在地商,預拌混凝土,,,石膏板（市佔第一）,,,利奇電子的感測器（子公司）,,,台灣房建與半導體建廠進度,,,石膏板市佔率,,,原材料（砂石）成本,,,台灣營建業缺工導致進度延後,,,房市政策打房,,,原材料運輸成本上升,,,它是純度極高的「台灣內需建材股」，受中國房市拖累極小
1103,嘉泥,上市水泥,,,放棄二線水泥競爭，轉身投入「高端旅宿與資產開發」的轉型者,沖繩飯店經營（Hotel Collective）,,,租賃收入,,,台泥股利收入,,,沖繩旅遊住房率,,,資產重估增值,,,持有台泥股票的價值,,,旅遊業受匯率或天災影響,,,本業水泥營收持續萎縮,,,新飯店開發進度延宕,,,它是披著水泥皮的觀光資產股，對旅遊業景氣極度敏感
1102,亞泥,上市水泥,,,獲利穩健，兩岸佈局精悍且深耕電力事業的「模範生」,中國與台灣水泥業務,,,遠東新及裕民之轉投資,,,嘉惠電力（天然氣發電）,,,轉投資事業貢獻,,,中國基建需求,,,股利發放率,,,採礦權爭議（環境政治風險）,,,中國市場產能過剩,,,天然氣價格波動,,,它是集團旗下的金雞母，適合偏好高殖利率與穩定收益的投資者
1101,台泥,上市水泥,,,從傳統水泥龍頭蛻變為「全球綠能與儲能的布局者」,兩岸水泥產銷,,,海外（歐洲/非洲）合資利潤,,,能源事業（儲能/電池）,,,煤價走勢,,,碳費徵收標準,,,土耳其及葡萄牙廠投資收益,,,中國房地產低迷,,,高額轉型投資導致的短期現金流壓力,,,全球碳稅政策,,,看台泥已不能只看水泥，要看它綠能轉型的長期賠率
